Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionRiskScore,RiskLevel
51,No,Non-Travel,Sales,17,1,Medical,2,Female,Sales Executive,2,Single,3792,7,No,4,0,40,6,2,37,5,2,3,60.3,High
56,No,Travel_Frequently,Research & Development,19,1,Life Sciences,1,Female,Research Scientist,3,Divorced,12566,4,Yes,3,1,37,2,3,36,9,14,2,49.3,Medium
20,No,Travel_Rarely,Research & Development,28,1,Life Sciences,2,Male,Research Scientist,3,Divorced,4238,5,No,3,2,32,0,4,29,4,0,17,27.5,Low
25,No,Travel_Rarely,Sales,7,4,Marketing,2,Male,Sales Executive,2,Divorced,3710,7,Yes,3,1,34,4,3,30,10,9,4,56.9,Medium
40,No,Non-Travel,Research & Development,17,3,Technical Degree,4,Male,Research Scientist,2,Married,1800,0,No,3,3,9,4,3,9,0,8,8,21.8,Low
31,No,Travel_Rarely,Sales,1,5,Life Sciences,1,Male,Manager,1,Divorced,3314,4,No,3,3,18,1,1,14,1,6,14,41.0,Medium
44,No,Travel_Frequently,Sales,5,5,Medical,4,Male,Sales Representative,3,Married,2345,3,No,3,3,18,5,1,17,0,13,8,32.6,Medium
46,No,Travel_Rarely,Research & Development,25,4,Life Sciences,3,Male,Laboratory Technician,2,Single,2692,3,No,3,3,24,2,1,22,18,7,13,59.2,Medium
56,No,Travel_Rarely,Human Resources,6,1,Life Sciences,1,Female,Human Resources,4,Married,5281,1,No,4,1,32,6,4,32,1,8,1,16.8,Low
56,No,Travel_Frequently,Research & Development,26,5,Marketing,4,Female,Healthcare Representative,3,Married,3863,9,Yes,3,3,16,2,3,15,15,2,15,47.1,Medium
18,No,Non-Travel,Research & Development,2,4,Medical,4,Male,Laboratory Technician,3,Divorced,13625,0,No,3,3,38,1,1,37,3,9,12,22.2,Low
34,No,Travel_Rarely,Sales,27,2,Life Sciences,3,Male,Sales Representative,1,Married,9384,5,No,3,2,38,6,1,34,11,10,15,71.7,High
58,Yes,Travel_Rarely,Research & Development,25,5,Life Sciences,2,Female,Research Scientist,4,Single,3410,6,Yes,3,2,37,6,1,33,19,1,5,65.1,High
47,No,Travel_Rarely,Research & Development,16,2,Human Resources,2,Female,Healthcare Representative,1,Married,2835,4,Yes,3,2,31,1,4,27,17,5,15,55.2,Medium
30,No,Travel_Rarely,Sales,22,1,Technical Degree,2,Female,Sales Executive,4,Divorced,11266,7,No,3,0,3,0,4,1,0,4,1,24.3,Low
38,Yes,Travel_Rarely,Research & Development,5,5,Other,3,Male,Laboratory Technician,1,Single,13306,8,No,3,2,32,5,3,29,0,3,9,59.0,Medium
36,No,Travel_Rarely,Sales,5,4,Medical,4,Male,Sales Representative,4,Married,1317,1,No,3,3,15,2,3,12,12,5,10,16.3,Low
36,No,Travel_Rarely,Research & Development,12,3,Medical,1,Male,Research Director,4,Married,5196,3,No,4,1,44,4,3,40,3,14,4,29.2,Low
42,No,Travel_Frequently,Sales,3,5,Life Sciences,3,Female,Sales Executive,4,Single,4225,8,Yes,3,3,19,1,1,15,4,5,15,57.0,Medium
39,No,Travel_Rarely,Research & Development,16,5,Life Sciences,2,Male,Manager,2,Single,7255,4,No,3,1,6,0,2,4,4,11,2,65.1,High
48,No,Travel_Rarely,Research & Development,6,5,Life Sciences,2,Male,Laboratory Technician,3,Married,15765,2,No,3,3,30,4,4,27,12,2,7,24.9,Low
34,No,Travel_Rarely,Research & Development,15,5,Medical,1,Male,Research Scientist,4,Divorced,3675,5,Yes,3,0,40,2,1,38,15,13,10,51.8,Medium
40,No,Travel_Frequently,Research & Development,15,4,Life Sciences,3,Male,Research Director,2,Single,1427,2,Yes,3,2,20,1,1,19,12,1,2,70.3,High
49,No,Travel_Frequently,Sales,29,4,Technical Degree,2,Female,Sales Executive,2,Married,6956,4,No,3,3,26,6,3,23,1,8,11,34.9,Medium
27,Yes,Travel_Rarely,Human Resources,16,3,Life Sciences,3,Male,Manager,1,Married,11316,2,Yes,3,2,30,5,3,26,15,7,14,63.4,High
27,No,Travel_Rarely,Research & Development,20,4,Life Sciences,4,Female,Manager,3,Divorced,4095,5,No,3,0,29,1,1,29,5,13,15,45.6,Medium
53,No,Travel_Rarely,Research & Development,13,4,Life Sciences,3,Male,Research Director,3,Divorced,3219,9,No,3,0,27,5,4,26,13,3,4,32.4,Medium
25,No,Travel_Rarely,Research & Development,12,1,Life Sciences,4,Male,Research Director,1,Married,3780,4,Yes,3,2,25,0,4,25,0,5,5,60.6,High
37,No,Travel_Rarely,Research & Development,10,1,Life Sciences,1,Male,Healthcare Representative,3,Divorced,8185,8,No,3,2,8,0,1,6,6,2,6,37.7,Medium
49,No,Travel_Rarely,Research & Development,14,2,Life Sciences,4,Male,Laboratory Technician,1,Single,3741,2,No,4,1,39,2,2,37,10,15,8,65.6,High
31,No,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,Manager,2,Married,5986,5,No,3,2,6,5,2,4,4,10,4,45.7,Medium
45,No,Travel_Frequently,Sales,29,1,Medical,1,Female,Manager,2,Married,4997,7,Yes,3,2,26,1,4,22,2,7,2,57.6,Medium
41,No,Travel_Rarely,Sales,3,3,Medical,2,Female,Sales Executive,4,Single,4697,6,No,3,1,29,0,3,27,10,2,13,33.6,Medium
32,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,Manager,1,Married,7485,5,No,4,3,33,1,2,33,4,1,4,53.3,Medium
39,No,Travel_Rarely,Research & Development,11,5,Medical,3,Male,Healthcare Representative,2,Single,3688,1,No,3,1,15,2,2,14,14,14,4,50.9,Medium
47,No,Travel_Rarely,Sales,11,3,Medical,1,Female,Manager,2,Divorced,3795,6,No,3,3,35,5,3,31,6,6,3,26.5,Low
21,Yes,Travel_Rarely,Research & Development,25,5,Life Sciences,3,Male,Manager,1,Married,7931,7,No,3,3,26,1,2,25,9,13,15,67.5,High
30,No,Travel_Rarely,Research & Development,22,2,Technical Degree,2,Male,Research Director,2,Married,2718,0,Yes,3,3,32,4,1,30,10,15,12,54.0,Medium
40,No,Travel_Rarely,Sales,10,2,Medical,3,Male,Manager,3,Single,2898,8,No,3,1,21,1,2,18,2,2,7,51.5,Medium
25,No,Travel_Rarely,Research & Development,26,2,Life Sciences,1,Female,Research Scientist,2,Single,2307,3,No,3,1,12,3,3,8,8,12,8,57.8,Medium
35,No,Travel_Rarely,Sales,14,5,Other,1,Male,Manager,1,Divorced,8179,7,No,3,0,30,3,1,28,9,8,1,62.5,High
29,No,Travel_Rarely,Research & Development,9,5,Technical Degree,2,Male,Healthcare Representative,3,Married,4614,9,No,3,3,42,6,2,38,9,14,7,36.9,Medium
48,No,Travel_Rarely,Sales,20,2,Human Resources,1,Male,Manager,3,Divorced,2234,6,Yes,3,1,6,2,4,3,3,2,2,42.9,Medium
31,Yes,Travel_Rarely,Human Resources,27,5,Marketing,2,Male,Manager,2,Single,8203,9,No,3,0,2,2,1,2,2,14,2,81.0,High
51,No,Travel_Frequently,Research & Development,21,4,Life Sciences,2,Male,Manager,4,Single,3521,6,No,3,3,28,2,1,28,14,7,10,47.8,Medium
35,Yes,Travel_Rarely,Sales,10,4,Life Sciences,1,Female,Sales Executive,3,Married,2913,1,No,4,1,10,4,4,10,9,1,0,27.2,Low
51,No,Travel_Rarely,Sales,22,5,Medical,4,Female,Sales Representative,1,Married,4370,0,No,4,1,35,5,4,32,9,8,0,42.4,Medium
28,No,Travel_Rarely,Research & Development,29,5,Human Resources,3,Male,Healthcare Representative,4,Single,11935,3,No,3,1,38,4,2,37,18,0,7,55.8,Medium
58,No,Travel_Rarely,Research & Development,9,1,Medical,4,Male,Laboratory Technician,4,Married,3877,1,Yes,3,2,13,6,2,10,0,11,10,29.1,Low
29,No,Travel_Rarely,Research & Development,29,1,Other,2,Female,Manager,3,Married,6941,7,No,3,0,29,1,3,26,9,2,9,44.0,Medium
32,No,Travel_Rarely,Research & Development,5,3,Life Sciences,3,Female,Research Director,2,Single,7602,9,No,3,1,34,0,3,32,1,10,1,64.4,High
48,No,Travel_Rarely,Sales,8,3,Life Sciences,4,Male,Sales Executive,4,Married,6412,6,No,3,2,20,5,1,20,16,13,15,40.4,Medium
46,No,Non-Travel,Research & Development,11,3,Other,1,Male,Research Director,2,Married,10536,7,No,3,0,42,3,4,38,6,1,3,40.5,Medium
43,Yes,Travel_Rarely,Sales,1,2,Marketing,4,Male,Sales Representative,3,Married,3215,5,No,4,0,31,3,4,30,6,12,8,34.1,Medium
35,No,Travel_Rarely,Research & Development,21,4,Human Resources,3,Male,Healthcare Representative,1,Married,2628,0,Yes,4,2,41,6,3,37,19,13,2,64.8,High
49,No,Travel_Rarely,Research & Development,10,2,Marketing,3,Male,Manager,4,Married,2597,8,No,3,0,3,3,1,1,1,12,1,44.0,Medium
39,No,Non-Travel,Research & Development,1,5,Medical,3,Female,Research Director,1,Single,4506,5,No,3,2,28,6,1,26,1,11,7,57.4,Medium
55,No,Travel_Frequently,Sales,26,1,Medical,3,Male,Manager,2,Divorced,2784,9,No,4,3,36,1,3,35,13,14,6,39.8,Medium
34,No,Travel_Rarely,Research & Development,22,5,Other,4,Female,Laboratory Technician,2,Divorced,5369,0,No,4,1,14,1,3,10,10,6,0,25.8,Low
40,No,Travel_Frequently,Research & Development,7,5,Medical,1,Female,Research Director,1,Married,5147,0,No,4,2,18,2,3,17,0,4,7,32.5,Medium
41,No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Female,Laboratory Technician,3,Single,9055,7,No,3,0,1,0,2,0,0,14,0,68.6,High
25,No,Travel_Rarely,Research & Development,14,5,Medical,3,Male,Laboratory Technician,3,Married,5852,5,Yes,3,0,34,2,1,34,19,7,10,67.0,High
58,No,Travel_Rarely,Research & Development,5,3,Medical,1,Male,Research Scientist,4,Married,3828,7,Yes,3,3,38,1,1,34,18,1,6,43.8,Medium
23,No,Travel_Frequently,Research & Development,17,1,Life Sciences,4,Female,Manager,4,Divorced,6288,7,No,3,3,30,4,1,30,3,7,8,28.9,Low
22,No,Travel_Rarely,Sales,22,5,Marketing,1,Female,Sales Representative,3,Divorced,2648,7,No,3,3,27,2,3,27,7,6,13,31.6,Medium
46,No,Travel_Rarely,Research & Development,26,3,Life Sciences,2,Female,Research Scientist,3,Divorced,4803,9,No,3,3,38,5,3,38,12,11,4,37.0,Medium
45,No,Travel_Rarely,Research & Development,21,3,Life Sciences,1,Male,Healthcare Representative,1,Single,5952,6,No,4,3,3,1,3,0,0,10,0,63.1,High
28,No,Travel_Frequently,Research & Development,6,4,Technical Degree,3,Male,Research Director,2,Divorced,5311,6,Yes,4,1,26,1,3,24,8,4,12,41.2,Medium
18,No,Travel_Rarely,Research & Development,16,3,Medical,1,Female,Laboratory Technician,2,Married,6304,9,No,3,2,39,4,4,37,8,1,4,43.0,Medium
60,No,Travel_Rarely,Research & Development,11,2,Technical Degree,1,Male,Manager,4,Divorced,3339,3,Yes,4,3,22,4,3,19,17,9,7,18.6,Low
36,No,Travel_Rarely,Research & Development,10,1,Life Sciences,1,Male,Research Scientist,3,Married,9810,8,No,3,3,3,4,2,2,2,10,2,45.5,Medium
26,No,Travel_Rarely,Research & Development,15,1,Human Resources,1,Male,Laboratory Technician,1,Single,14666,1,No,3,1,5,0,4,1,1,6,1,61.0,High
44,No,Travel_Rarely,Sales,7,1,Life Sciences,2,Male,Sales Executive,4,Married,1878,8,No,3,2,21,5,4,17,10,9,0,28.0,Low
51,No,Travel_Rarely,Sales,23,5,Life Sciences,4,Male,Sales Representative,1,Single,2369,9,Yes,3,3,13,1,3,9,6,3,5,80.1,High
21,No,Travel_Rarely,Sales,2,5,Other,3,Male,Sales Representative,3,Married,5043,2,No,3,2,4,4,1,4,4,3,4,33.8,Medium
53,No,Travel_Rarely,Research & Development,12,2,Marketing,3,Male,Research Scientist,3,Divorced,4213,1,No,3,2,12,0,3,8,5,7,6,18.5,Low
35,No,Travel_Rarely,Research & Development,19,3,Life Sciences,1,Female,Research Director,3,Single,15334,3,No,3,1,5,3,1,1,1,5,1,61.1,High
32,No,Travel_Rarely,Research & Development,12,5,Human Resources,4,Male,Manager,2,Single,5607,4,Yes,3,1,37,5,3,33,15,8,6,72.8,High
30,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,Laboratory Technician,3,Single,11333,1,No,4,3,39,6,3,37,14,10,8,38.8,Medium
36,No,Non-Travel,Sales,6,3,Human Resources,2,Female,Manager,4,Married,1437,0,No,3,0,33,6,1,30,6,14,0,33.0,Medium
23,No,Non-Travel,Research & Development,3,5,Medical,4,Male,Healthcare Representative,2,Divorced,8010,9,No,3,1,10,3,1,9,9,1,9,40.5,Medium
29,No,Travel_Rarely,Research & Development,2,5,Medical,4,Male,Manager,1,Single,3199,4,Yes,3,2,14,3,1,11,4,4,0,73.5,High
54,Yes,Travel_Frequently,Sales,20,2,Medical,4,Female,Manager,4,Single,3168,8,Yes,3,2,39,1,1,35,15,5,17,59.8,Medium
34,No,Travel_Rarely,Sales,5,4,Life Sciences,4,Female,Sales Representative,4,Divorced,4234,4,No,3,3,21,0,2,20,0,7,4,20.9,Low
40,No,Non-Travel,Sales,11,1,Medical,1,Male,Sales Representative,1,Divorced,2090,9,No,3,3,6,0,1,5,5,3,2,47.5,Medium
43,No,Travel_Rarely,Sales,26,5,Medical,2,Male,Sales Executive,2,Single,6410,8,No,3,3,5,3,3,2,2,10,1,61.9,High
46,No,Travel_Rarely,Research & Development,25,5,Life Sciences,4,Female,Research Director,4,Married,5510,9,No,3,2,12,5,3,9,6,6,9,35.8,Medium
50,No,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,Research Scientist,4,Married,5765,5,No,3,1,7,2,2,4,4,10,4,32.3,Medium
44,No,Travel_Rarely,Research & Development,3,4,Life Sciences,3,Female,Laboratory Technician,4,Married,8368,2,No,3,0,28,3,1,25,4,6,16,31.3,Medium
42,Yes,Travel_Rarely,Research & Development,22,5,Technical Degree,2,Female,Research Scientist,2,Married,12196,3,No,3,1,20,1,3,20,16,3,12,40.4,Medium
27,Yes,Travel_Rarely,Research & Development,5,4,Medical,3,Female,Laboratory Technician,2,Divorced,3951,3,No,4,0,27,3,2,25,7,15,16,33.1,Medium
40,No,Travel_Rarely,Sales,22,1,Marketing,1,Male,Sales Representative,2,Single,6544,0,Yes,3,1,39,5,3,37,0,0,17,64.7,High
38,No,Travel_Rarely,Research & Development,23,3,Human Resources,1,Male,Research Scientist,4,Single,5859,2,No,3,3,29,5,2,25,1,2,10,39.8,Medium
38,No,Travel_Frequently,Research & Development,11,2,Medical,2,Female,Manager,3,Married,6164,2,No,4,2,7,3,2,7,7,1,7,25.8,Low
60,No,Travel_Frequently,Research & Development,3,1,Human Resources,4,Male,Laboratory Technician,1,Married,6220,0,No,3,0,5,0,4,4,4,12,4,38.0,Medium
30,No,Non-Travel,Research & Development,13,4,Life Sciences,3,Male,Research Scientist,3,Divorced,12762,8,No,3,1,17,3,4,14,14,12,9,33.7,Medium
54,No,Travel_Rarely,Research & Development,21,4,Life Sciences,3,Female,Laboratory Technician,2,Married,3730,0,No,4,2,19,4,1,15,10,11,2,44.3,Medium
50,No,Travel_Rarely,Sales,8,1,Life Sciences,2,Male,Manager,4,Single,1967,8,Yes,3,0,1,4,4,0,0,2,0,53.5,Medium
41,No,Travel_Frequently,Sales,20,4,Medical,2,Male,Sales Executive,4,Married,3233,0,No,3,0,17,2,2,15,3,4,6,29.8,Low
28,No,Travel_Rarely,Research & Development,10,2,Other,3,Female,Research Director,3,Married,7741,1,No,4,2,37,1,3,36,4,10,4,26.6,Low
34,No,Travel_Rarely,Research & Development,2,2,Medical,4,Male,Laboratory Technician,3,Divorced,4984,1,No,4,3,5,1,3,2,2,11,2,14.5,Low
21,No,Non-Travel,Research & Development,4,4,Life Sciences,2,Male,Healthcare Representative,1,Married,3712,5,No,3,2,33,6,1,30,12,0,9,51.2,Medium
42,No,Travel_Rarely,Sales,18,4,Marketing,1,Male,Manager,4,Married,2576,6,No,3,3,14,0,4,12,12,4,12,23.2,Low
47,No,Travel_Rarely,Research & Development,19,2,Medical,3,Female,Laboratory Technician,3,Married,5612,0,No,3,1,18,1,1,15,15,1,10,31.9,Medium
26,No,Travel_Rarely,Research & Development,4,4,Life Sciences,2,Male,Research Scientist,1,Married,7235,2,No,3,1,20,2,2,20,1,15,16,55.8,Medium
38,No,Travel_Frequently,Sales,20,5,Medical,2,Male,Sales Representative,2,Married,5904,1,No,3,2,5,4,4,1,1,13,1,34.7,Medium
37,No,Travel_Rarely,Sales,26,3,Other,2,Female,Manager,3,Single,4221,7,No,3,3,28,0,1,26,0,3,6,54.5,Medium
36,No,Travel_Rarely,Research & Development,9,5,Technical Degree,3,Female,Research Director,2,Divorced,5366,8,No,3,1,39,5,3,37,18,5,10,31.1,Medium
36,No,Travel_Rarely,Research & Development,16,4,Medical,1,Male,Laboratory Technician,1,Married,5348,1,No,4,3,26,4,3,25,8,15,12,40.9,Medium
29,No,Travel_Rarely,Research & Development,26,4,Life Sciences,1,Female,Research Scientist,2,Married,5507,1,No,4,3,39,2,1,37,2,15,5,55.1,Medium
54,No,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Male,Laboratory Technician,4,Divorced,2414,9,Yes,4,3,28,0,1,24,6,8,1,42.4,Medium
59,No,Travel_Rarely,Research & Development,25,4,Medical,2,Female,Manager,4,Divorced,5532,8,No,4,2,10,3,1,10,9,9,10,30.8,Medium
34,No,Travel_Frequently,Research & Development,4,3,Marketing,3,Male,Research Scientist,2,Divorced,3773,3,Yes,3,3,8,1,2,7,0,5,7,38.4,Medium
54,No,Travel_Rarely,Human Resources,9,2,Life Sciences,3,Male,Human Resources,4,Divorced,9176,4,No,3,2,11,2,2,7,7,9,6,19.9,Low
56,Yes,Travel_Rarely,Human Resources,27,3,Life Sciences,2,Female,Manager,1,Single,5322,8,Yes,3,1,34,0,3,32,8,12,0,83.9,High
45,No,Travel_Frequently,Sales,13,3,Other,3,Male,Sales Representative,4,Married,8113,5,No,3,1,9,4,2,6,6,10,1,33.4,Medium
58,Yes,Travel_Frequently,Research & Development,9,5,Technical Degree,4,Male,Research Scientist,2,Married,4100,9,No,3,0,40,0,2,37,14,11,8,51.8,Medium
52,No,Travel_Rarely,Research & Development,6,4,Medical,1,Male,Manager,2,Married,4190,8,No,3,0,24,3,4,20,2,1,17,36.4,Medium
35,No,Travel_Rarely,Sales,21,2,Life Sciences,4,Female,Sales Executive,2,Divorced,12046,8,No,4,1,7,2,2,7,4,7,7,54.9,Medium
31,No,Travel_Frequently,Sales,19,1,Life Sciences,4,Male,Sales Representative,3,Married,6385,6,Yes,3,3,23,0,4,20,8,4,17,47.0,Medium
52,Yes,Travel_Rarely,Research & Development,14,3,Life Sciences,4,Male,Manager,2,Married,3201,9,No,3,3,23,5,2,19,8,15,9,50.7,Medium
58,No,Travel_Frequently,Research & Development,21,1,Medical,3,Male,Healthcare Representative,1,Divorced,8418,8,Yes,3,1,8,2,3,7,6,8,7,59.0,Medium
24,No,Travel_Rarely,Sales,15,4,Life Sciences,2,Male,Manager,4,Single,3568,4,No,3,1,32,2,1,30,11,14,7,57.4,Medium
58,No,Travel_Rarely,Sales,3,3,Technical Degree,3,Male,Manager,4,Married,5627,4,No,3,0,28,4,3,28,8,9,1,24.0,Low
30,Yes,Non-Travel,Research & Development,5,1,Human Resources,1,Male,Laboratory Technician,3,Married,14794,7,No,3,3,8,6,2,8,5,8,8,40.5,Medium
35,No,Travel_Rarely,Sales,21,5,Life Sciences,3,Male,Sales Executive,3,Single,2082,9,No,3,1,15,1,1,14,1,3,10,69.7,High
54,No,Travel_Frequently,Sales,18,1,Medical,3,Male,Sales Representative,1,Single,4422,3,Yes,3,0,29,6,1,29,8,12,10,82.2,High
30,No,Travel_Frequently,Research & Development,14,5,Marketing,3,Female,Manager,2,Divorced,6278,8,No,3,0,29,5,1,25,16,0,10,48.2,Medium
53,No,Non-Travel,Human Resources,16,2,Other,3,Female,Human Resources,3,Married,7776,6,No,3,3,9,3,4,9,0,10,9,19.0,Low
48,No,Travel_Frequently,Sales,14,4,Other,4,Female,Sales Executive,4,Divorced,2333,6,Yes,4,0,28,0,3,28,18,13,7,36.7,Medium
19,No,Non-Travel,Research & Development,9,1,Life Sciences,2,Male,Research Scientist,3,Married,1955,2,No,3,0,15,6,4,15,5,8,14,27.0,Low
33,No,Travel_Rarely,Research & Development,15,3,Life Sciences,1,Female,Laboratory Technician,3,Single,9456,3,No,4,2,39,1,1,35,4,8,7,55.8,Medium
26,No,Travel_Rarely,Sales,7,4,Marketing,1,Male,Manager,2,Married,3189,6,No,3,1,21,4,3,19,1,7,0,47.5,Medium
26,No,Travel_Rarely,Research & Development,14,1,Marketing,1,Female,Manager,3,Married,3110,4,No,3,3,39,1,3,36,8,4,2,29.4,Low
55,No,Non-Travel,Research & Development,6,3,Life Sciences,3,Male,Laboratory Technician,1,Divorced,12458,2,No,3,1,21,2,2,21,13,4,11,38.2,Medium
28,No,Travel_Rarely,Research & Development,21,3,Medical,1,Male,Healthcare Representative,4,Single,5124,0,No,3,2,7,2,4,6,3,9,6,25.4,Low
39,No,Travel_Rarely,Research & Development,15,3,Technical Degree,4,Male,Laboratory Technician,2,Divorced,5144,6,No,3,3,23,3,4,22,3,5,15,19.8,Low
50,No,Travel_Rarely,Research & Development,20,3,Life Sciences,2,Male,Manager,4,Divorced,4412,5,No,3,1,44,5,2,40,14,15,16,30.0,Low
53,No,Travel_Rarely,Sales,8,1,Other,3,Female,Manager,1,Divorced,2358,9,No,4,0,41,0,4,39,7,0,15,34.6,Medium
40,Yes,Travel_Frequently,Research & Development,2,2,Life Sciences,3,Female,Research Scientist,1,Married,7371,6,Yes,3,3,28,0,1,28,3,8,8,69.0,High
51,No,Travel_Rarely,Research & Development,8,5,Technical Degree,4,Female,Research Scientist,3,Divorced,6283,1,No,3,2,19,4,1,15,15,4,0,19.5,Low
26,No,Travel_Rarely,Sales,1,5,Medical,1,Female,Manager,3,Married,5438,3,No,3,0,40,3,4,37,3,6,17,26.2,Low
41,No,Non-Travel,Sales,26,5,Life Sciences,3,Male,Manager,3,Single,4583,1,No,3,2,29,0,2,27,15,10,5,51.3,Medium
25,No,Travel_Rarely,Research & Development,17,2,Marketing,3,Male,Research Director,4,Single,4124,7,No,3,0,39,5,3,37,11,15,5,53.0,Medium
24,No,Travel_Rarely,Research & Development,19,3,Technical Degree,4,Female,Healthcare Representative,1,Divorced,8497,6,No,3,1,34,2,4,30,15,14,11,36.7,Medium
53,Yes,Travel_Rarely,Sales,5,3,Other,4,Male,Sales Representative,2,Single,4515,0,Yes,3,1,14,3,3,13,13,7,2,55.2,Medium
35,No,Travel_Frequently,Research & Development,22,4,Life Sciences,1,Female,Laboratory Technician,3,Married,4729,1,Yes,3,1,34,1,2,32,7,4,10,52.5,Medium
20,No,Travel_Rarely,Sales,20,5,Marketing,2,Male,Manager,4,Single,6754,1,No,3,2,9,6,3,8,5,2,5,34.9,Medium
