Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
50,No,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,Research Scientist,4,Married,5765,5,No,3,1,7,2,2,4,4,10,4
44,No,Travel_Rarely,Research & Development,3,4,Life Sciences,3,Female,Laboratory Technician,4,Married,8368,2,No,3,0,28,3,1,25,4,6,16
42,Yes,Travel_Rarely,Research & Development,22,5,Technical Degree,2,Female,Research Scientist,2,Married,12196,3,No,3,1,20,1,3,20,16,3,12
27,Yes,Travel_Rarely,Research & Development,5,4,Medical,3,Female,Laboratory Technician,2,Divorced,3951,3,No,4,0,27,3,2,25,7,15,16
40,No,Travel_Rarely,Sales,22,1,Marketing,1,Male,Sales Representative,2,Single,6544,0,Yes,3,1,39,5,3,37,0,0,17
38,No,Travel_Rarely,Research & Development,23,3,Human Resources,1,Male,Research Scientist,4,Single,5859,2,No,3,3,29,5,2,25,1,2,10
38,No,Travel_Frequently,Research & Development,11,2,Medical,2,Female,Manager,3,Married,6164,2,No,4,2,7,3,2,7,7,1,7
60,No,Travel_Frequently,Research & Development,3,1,Human Resources,4,Male,Laboratory Technician,1,Married,6220,0,No,3,0,5,0,4,4,4,12,4
30,No,Non-Travel,Research & Development,13,4,Life Sciences,3,Male,Research Scientist,3,Divorced,12762,8,No,3,1,17,3,4,14,14,12,9
54,No,Travel_Rarely,Research & Development,21,4,Life Sciences,3,Female,Laboratory Technician,2,Married,3730,0,No,4,2,19,4,1,15,10,11,2
50,No,Travel_Rarely,Sales,8,1,Life Sciences,2,Male,Manager,4,Single,1967,8,Yes,3,0,1,4,4,0,0,2,0
41,No,Travel_Frequently,Sales,20,4,Medical,2,Male,Sales Executive,4,Married,3233,0,No,3,0,17,2,2,15,3,4,6
28,No,Travel_Rarely,Research & Development,10,2,Other,3,Female,Research Director,3,Married,7741,1,No,4,2,37,1,3,36,4,10,4
34,No,Travel_Rarely,Research & Development,2,2,Medical,4,Male,Laboratory Technician,3,Divorced,4984,1,No,4,3,5,1,3,2,2,11,2
21,No,Non-Travel,Research & Development,4,4,Life Sciences,2,Male,Healthcare Representative,1,Married,3712,5,No,3,2,33,6,1,30,12,0,9
42,No,Travel_Rarely,Sales,18,4,Marketing,1,Male,Manager,4,Married,2576,6,No,3,3,14,0,4,12,12,4,12
47,No,Travel_Rarely,Research & Development,19,2,Medical,3,Female,Laboratory Technician,3,Married,5612,0,No,3,1,18,1,1,15,15,1,10
26,No,Travel_Rarely,Research & Development,4,4,Life Sciences,2,Male,Research Scientist,1,Married,7235,2,No,3,1,20,2,2,20,1,15,16
38,No,Travel_Frequently,Sales,20,5,Medical,2,Male,Sales Representative,2,Married,5904,1,No,3,2,5,4,4,1,1,13,1
37,No,Travel_Rarely,Sales,26,3,Other,2,Female,Manager,3,Single,4221,7,No,3,3,28,0,1,26,0,3,6
36,No,Travel_Rarely,Research & Development,9,5,Technical Degree,3,Female,Research Director,2,Divorced,5366,8,No,3,1,39,5,3,37,18,5,10
36,No,Travel_Rarely,Research & Development,16,4,Medical,1,Male,Laboratory Technician,1,Married,5348,1,No,4,3,26,4,3,25,8,15,12
29,No,Travel_Rarely,Research & Development,26,4,Life Sciences,1,Female,Research Scientist,2,Married,5507,1,No,4,3,39,2,1,37,2,15,5
54,No,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Male,Laboratory Technician,4,Divorced,2414,9,Yes,4,3,28,0,1,24,6,8,1
59,No,Travel_Rarely,Research & Development,25,4,Medical,2,Female,Manager,4,Divorced,5532,8,No,4,2,10,3,1,10,9,9,10
34,No,Travel_Frequently,Research & Development,4,3,Marketing,3,Male,Research Scientist,2,Divorced,3773,3,Yes,3,3,8,1,2,7,0,5,7
54,No,Travel_Rarely,Human Resources,9,2,Life Sciences,3,Male,Human Resources,4,Divorced,9176,4,No,3,2,11,2,2,7,7,9,6
56,Yes,Travel_Rarely,Human Resources,27,3,Life Sciences,2,Female,Manager,1,Single,5322,8,Yes,3,1,34,0,3,32,8,12,0
45,No,Travel_Frequently,Sales,13,3,Other,3,Male,Sales Representative,4,Married,8113,5,No,3,1,9,4,2,6,6,10,1
58,Yes,Travel_Frequently,Research & Development,9,5,Technical Degree,4,Male,Research Scientist,2,Married,4100,9,No,3,0,40,0,2,37,14,11,8
52,No,Travel_Rarely,Research & Development,6,4,Medical,1,Male,Manager,2,Married,4190,8,No,3,0,24,3,4,20,2,1,17
35,No,Travel_Rarely,Sales,21,2,Life Sciences,4,Female,Sales Executive,2,Divorced,12046,8,No,4,1,7,2,2,7,4,7,7
31,No,Travel_Frequently,Sales,19,1,Life Sciences,4,Male,Sales Representative,3,Married,6385,6,Yes,3,3,23,0,4,20,8,4,17
52,Yes,Travel_Rarely,Research & Development,14,3,Life Sciences,4,Male,Manager,2,Married,3201,9,No,3,3,23,5,2,19,8,15,9
58,No,Travel_Frequently,Research & Development,21,1,Medical,3,Male,Healthcare Representative,1,Divorced,8418,8,Yes,3,1,8,2,3,7,6,8,7
24,No,Travel_Rarely,Sales,15,4,Life Sciences,2,Male,Manager,4,Single,3568,4,No,3,1,32,2,1,30,11,14,7
58,No,Travel_Rarely,Sales,3,3,Technical Degree,3,Male,Manager,4,Married,5627,4,No,3,0,28,4,3,28,8,9,1
30,Yes,Non-Travel,Research & Development,5,1,Human Resources,1,Male,Laboratory Technician,3,Married,14794,7,No,3,3,8,6,2,8,5,8,8
35,No,Travel_Rarely,Sales,21,5,Life Sciences,3,Male,Sales Executive,3,Single,2082,9,No,3,1,15,1,1,14,1,3,10
54,No,Travel_Frequently,Sales,18,1,Medical,3,Male,Sales Representative,1,Single,4422,3,Yes,3,0,29,6,1,29,8,12,10
30,No,Travel_Frequently,Research & Development,14,5,Marketing,3,Female,Manager,2,Divorced,6278,8,No,3,0,29,5,1,25,16,0,10
53,No,Non-Travel,Human Resources,16,2,Other,3,Female,Human Resources,3,Married,7776,6,No,3,3,9,3,4,9,0,10,9
48,No,Travel_Frequently,Sales,14,4,Other,4,Female,Sales Executive,4,Divorced,2333,6,Yes,4,0,28,0,3,28,18,13,7
19,No,Non-Travel,Research & Development,9,1,Life Sciences,2,Male,Research Scientist,3,Married,1955,2,No,3,0,15,6,4,15,5,8,14
33,No,Travel_Rarely,Research & Development,15,3,Life Sciences,1,Female,Laboratory Technician,3,Single,9456,3,No,4,2,39,1,1,35,4,8,7
26,No,Travel_Rarely,Sales,7,4,Marketing,1,Male,Manager,2,Married,3189,6,No,3,1,21,4,3,19,1,7,0
26,No,Travel_Rarely,Research & Development,14,1,Marketing,1,Female,Manager,3,Married,3110,4,No,3,3,39,1,3,36,8,4,2
55,No,Non-Travel,Research & Development,6,3,Life Sciences,3,Male,Laboratory Technician,1,Divorced,12458,2,No,3,1,21,2,2,21,13,4,11
28,No,Travel_Rarely,Research & Development,21,3,Medical,1,Male,Healthcare Representative,4,Single,5124,0,No,3,2,7,2,4,6,3,9,6
39,No,Travel_Rarely,Research & Development,15,3,Technical Degree,4,Male,Laboratory Technician,2,Divorced,5144,6,No,3,3,23,3,4,22,3,5,15
50,No,Travel_Rarely,Research & Development,20,3,Life Sciences,2,Male,Manager,4,Divorced,4412,5,No,3,1,44,5,2,40,14,15,16
53,No,Travel_Rarely,Sales,8,1,Other,3,Female,Manager,1,Divorced,2358,9,No,4,0,41,0,4,39,7,0,15
40,Yes,Travel_Frequently,Research & Development,2,2,Life Sciences,3,Female,Research Scientist,1,Married,7371,6,Yes,3,3,28,0,1,28,3,8,8
51,No,Travel_Rarely,Research & Development,8,5,Technical Degree,4,Female,Research Scientist,3,Divorced,6283,1,No,3,2,19,4,1,15,15,4,0
26,No,Travel_Rarely,Sales,1,5,Medical,1,Female,Manager,3,Married,5438,3,No,3,0,40,3,4,37,3,6,17
41,No,Non-Travel,Sales,26,5,Life Sciences,3,Male,Manager,3,Single,4583,1,No,3,2,29,0,2,27,15,10,5
25,No,Travel_Rarely,Research & Development,17,2,Marketing,3,Male,Research Director,4,Single,4124,7,No,3,0,39,5,3,37,11,15,5
24,No,Travel_Rarely,Research & Development,19,3,Technical Degree,4,Female,Healthcare Representative,1,Divorced,8497,6,No,3,1,34,2,4,30,15,14,11
53,Yes,Travel_Rarely,Sales,5,3,Other,4,Male,Sales Representative,2,Single,4515,0,Yes,3,1,14,3,3,13,13,7,2
35,No,Travel_Frequently,Research & Development,22,4,Life Sciences,1,Female,Laboratory Technician,3,Married,4729,1,Yes,3,1,34,1,2,32,7,4,10
20,No,Travel_Rarely,Sales,20,5,Marketing,2,Male,Manager,4,Single,6754,1,No,3,2,9,6,3,8,5,2,5
45,No,Travel_Rarely,Research & Development,16,5,Medical,2,Male,Manager,3,Single,5567,3,No,3,3,28,6,2,26,9,5,13
23,No,Travel_Frequently,Sales,7,3,Medical,1,Female,Sales Representative,1,Single,13165,2,No,3,1,25,3,2,23,4,6,17
38,No,Travel_Rarely,Research & Development,7,5,Other,2,Male,Research Director,2,Divorced,1708,0,No,3,2,14,3,1,12,12,12,12
45,No,Travel_Rarely,Research & Development,18,3,Life Sciences,4,Male,Manager,1,Married,5883,1,No,3,0,28,5,1,25,9,13,12
57,No,Travel_Frequently,Research & Development,18,3,Life Sciences,4,Male,Research Scientist,4,Divorced,3218,8,Yes,3,1,29,5,2,28,9,3,0
18,No,Travel_Frequently,Sales,2,3,Medical,4,Female,Manager,3,Married,2792,0,No,3,0,30,0,4,27,6,8,5
53,No,Travel_Rarely,Research & Development,15,1,Life Sciences,2,Male,Research Scientist,1,Divorced,3735,8,Yes,3,1,28,6,1,27,17,13,13
38,No,Travel_Rarely,Sales,14,1,Other,2,Male,Sales Executive,4,Married,5078,6,No,3,0,10,4,2,7,0,10,7
60,No,Travel_Frequently,Research & Development,18,1,Medical,3,Male,Healthcare Representative,3,Married,5215,1,No,3,2,25,4,3,22,6,3,12
52,No,Travel_Rarely,Research & Development,29,1,Medical,3,Male,Research Scientist,2,Married,1977,1,No,3,1,31,5,3,28,0,10,12
30,No,Travel_Rarely,Sales,9,2,Technical Degree,3,Male,Manager,1,Married,3552,4,No,3,2,8,0,4,4,4,9,4
27,No,Travel_Rarely,Research & Development,14,4,Medical,2,Male,Research Director,3,Divorced,5818,4,No,3,2,9,0,3,6,3,1,5
27,No,Travel_Rarely,Research & Development,5,4,Medical,3,Female,Manager,3,Married,2903,3,No,3,0,37,0,3,35,19,8,5
30,No,Travel_Frequently,Research & Development,11,3,Life Sciences,4,Female,Research Scientist,3,Divorced,2517,9,No,3,1,40,5,2,40,9,3,4
54,No,Travel_Rarely,Research & Development,8,5,Life Sciences,2,Male,Research Director,3,Divorced,1269,9,Yes,3,3,29,4,3,26,8,3,13
55,No,Travel_Frequently,Sales,5,1,Life Sciences,1,Female,Sales Representative,1,Single,3301,2,No,3,3,1,0,3,1,1,9,1
41,No,Travel_Frequently,Sales,29,4,Marketing,2,Male,Sales Executive,3,Married,2465,3,Yes,3,2,24,5,3,24,13,0,3
19,No,Travel_Frequently,Research & Development,11,4,Medical,3,Male,Research Director,4,Single,2723,9,No,3,0,10,1,3,8,8,13,1
39,No,Travel_Rarely,Research & Development,5,1,Life Sciences,2,Male,Healthcare Representative,1,Married,4175,3,Yes,3,0,26,1,2,26,0,1,1
